orthogroup	type	Ht_pval	Ht_pval2	He_pval	He_pval2	class
OG0012955	 SC	0.5	0.5	0.5	0.5	non-significant
OG0012956	 SC	0.390971581784682	0.390971581784682	0.499410005546101	0.499410005546101	non-significant
OG0012957	 SC	0.5	0.5	0.448607704043664	0.448607704043664	non-significant
OG0012959	 SC	0.5	0.5	0.5	0.5	non-significant
OG0012960	 SC	0.44493857971254	0.44493857971254	0.5	0.5	non-significant
OG0012961	 SC	0.5	0.5	0.5	0.5	non-significant
OG0012962	 SC	0.5	0.5	0.322368630561367	0.322368630561367	non-significant
OG0012965	 SC	0.0415077810660259	0.0415077810660259	0.0124649641805571	0.0124649641805571	both_selection
OG0012966	 SC	0.268599927997745	0.268599927997745	0.5	0.5	non-significant
OG0012967	 SC	0.479380688876548	0.479380688876548	0.5	0.5	non-significant
OG0012968	 SC	0.189578318389436	0.189578318389436	0.5	0.5	non-significant
OG0012969	 SC	0.5	0.5	0.5	0.5	non-significant
OG0012970	 SC	0.5	0.5	0.5	0.5	non-significant
OG0012971	 SC	0.5	0.5	0.5	0.5	non-significant
OG0012972	 SC	0.5	0.5	0.5	0.5	non-significant
OG0012973	 SC	0.179069294924197	0.179069294924197	0.5	0.5	non-significant
OG0012974	 SC	0.5	0.5	0.417953286828607	0.417953286828607	non-significant
OG0012975	 SC	0.5	0.5	0.5	0.5	non-significant
OG0012977	 SC	0.462326712626864	0.462326712626864	0.5	0.5	non-significant
OG0012978	 SC	0.0348336083178807	0.0348336083178807	0.5	0.5	Ht_selection
OG0012981	 SC	0.26629901647851	0.26629901647851	0.0271234264650768	0.0271234264650768	He_selection
OG0012982	 SC	0.5	0.5	0.370264012053154	0.370264012053154	non-significant
OG0012984	 SC	0.298242704313973	0.298242704313973	0.256069737072043	0.256069737072043	non-significant
OG0012985	 SC	0.5	0.5	0.5	0.5	non-significant
OG0012986	 SC	0.5	0.5	0.344771688512726	0.344771688512726	non-significant
OG0012987	 SC	0.5	0.5	0.5	0.5	non-significant
OG0012988	 SC	0.5	0.5	0.5	0.5	non-significant
OG0012989	 SC	0.5	0.5	0.5	0.5	non-significant
OG0012990	 SC	0.5	0.5	0.5	0.5	non-significant
OG0012992	 SC	0.5	0.5	0.310998518490445	0.310998518490445	non-significant
OG0012994	 SC	0.5	0.5	0.5	0.5	non-significant
OG0012995	 SC	0.5	0.5	0.45804398133305	0.45804398133305	non-significant
OG0012996	 SC	0.5	0.5	0.5	0.5	non-significant
OG0012997	 SC	0.471079786559294	0.471079786559294	0.0780566962099253	0.0780566962099253	He_selection
OG0012998	 SC	0.5	0.5	0.5	0.5	non-significant
OG0012999	 SC	0.451131676475573	0.451131676475573	0.5	0.5	non-significant
OG0013000	 SC	0.36678861121317	0.36678861121317	0.000529704347946414	0.000529704347946414	He_selection
OG0013001	 SC	0.499664524280888	0.499664524280888	0.5	0.5	non-significant
OG0013002	 SC	0.251191945511742	0.251191945511742	0.072149523520201	0.072149523520201	He_selection
OG0013003	 SC	0.5	0.5	0.5	0.5	non-significant
OG0013004	 SC	0.5	0.5	0.5	0.5	non-significant
OG0013005	 SC	0.5	0.5	0.5	0.5	non-significant
OG0013006	 SC	0.5	0.5	0.5	0.5	non-significant
OG0013007	 SC	0.5	0.5	0.5	0.5	non-significant
OG0013010	 SC	0.5	0.5	0.5	0.5	non-significant
OG0013011	 SC	0.5	0.5	0.258533452266023	0.258533452266023	non-significant
OG0013012	 SC	0.5	0.5	0.0852931830541117	0.0852931830541117	He_selection
OG0013013	 SC	0.5	0.5	0.5	0.5	non-significant
OG0013014	 SC	0.450198516338255	0.450198516338255	1.54876111935209e-14	1e-04	He_selection
OG0013015	 SC	0.5	0.5	0.5	0.5	non-significant
OG0013016	 SC	0.5	0.5	0.5	0.5	non-significant
OG0013017	 SC	0.407628915698795	0.407628915698795	0.5	0.5	non-significant
OG0013018	 SC	0.5	0.5	2.45376905922967e-05	1e-04	He_selection
OG0013020	 SC	0.5	0.5	0.0194767387496507	0.0194767387496507	He_selection
OG0013021	 SC	0.5	0.5	0.0111196480667052	0.0111196480667052	He_selection
